Insulation,Temperature,Num_Occupants,Avg_Age,Home_Size
88,2,76,1,30.1,7
89,7,72,7,47.9,5
90,4,65,3,53.6,6
91,3,61,1,54.6,2
92,2,48,8,53.5,6
93,8,53,4,27.4,8
94,6,87,8,26.7,3
95,7,82,6,52.0,4
96,4,67,1,25.7,6
97,1,71,8,47.5,5
98,2,74,9,30.2,3
99,0,42,9,33.2,7
100,2,63,1,68.9,3
101,2,50,6,51.5,1
102,4,78,4,66.9,6
103,3,58,6,58.2,3
104,5,53,7,51.6,3
105,4,78,5,23.3,8
106,1,88,8,63.8,3
107,6,45,8,72.6,8
108,8,63,3,29.0,7
109,0,61,6,53.8,5
110,0,79,9,54.5,5
111,5,43,9,59.0,7
112,5,70,8,39.8,3
113,6,88,1,35.9,2
114,4,85,7,25.9,5
115,1,74,4,61.4,3
116,3,78,5,72.8,3
117,5,58,4,57.6,1
118,3,52,1,57.0,7
119,7,55,10,40.4,1
120,1,67,9,39.9,6
121,8,45,1,17.5,1
122,6,61,1,32.2,2
123,5,73,8,58.3,3
124,5,70,3,70.2,6
125,7,59,3,68.3,3
126,8,80,2,38.2,6
127,0,42,4,30.3,6
128,1,61,1,20.8,4
129,4,76,10,60.7,2
130,2,82,8,72.6,3
131,3,51,1,72.4,1
132,5,89,2,65.1,7
133,1,70,3,67.4,1
134,7,55,7,20.8,7
135,7,48,8,70.1,6
136,8,39,6,53.1,7
137,2,85,3,63.5,3
138,5,54,4,55.1,3
139,0,69,4,61.1,5
140,8,52,3,44.2,4
141,5,54,3,70.5,2
142,1,70,8,27.8,7
143,7,42,4,66.0,1
144,2,71,5,22.6,2
145,5,53,5,44.4,2
146,6,59,7,29.9,2
147,2,61,5,63.4,4
148,4,82,2,71.7,3
149,8,51,10,70.6,2
150,1,56,4,27.4,4
151,5,69,6,68.7,8
152,2,53,3,67.9,1
153,0,44,10,32.9,1
154,0,73,1,23.7,3
155,2,56,5,27.7,4
156,5,60,8,61.7,6
157,0,62,5,47.4,8
158,0,74,10,18.9,2
159,0,75,1,30.8,8
160,7,63,4,43.0,7
161,3,41,3,30.8,2
162,6,67,1,67.1,7
163,8,81,3,16.0,7
164,6,58,6,49.7,6
165,8,41,2,51.9,5
166,0,78,4,25.4,5
167,0,86,4,48.2,2
168,2,56,9,33.6,7
169,7,79,10,41.7,1
170,6,72,7,29.5,1
171,6,73,7,55.0,2
172,1,73,2,25.9,3
173,6,85,4,69.6,5
174,5,65,1,71.6,3
175,1,53,7,55.3,7
176,3,85,9,58.2,8
177,5,62,8,60.8,6
178,1,87,6,24.6,6
179,0,73,1,48.8,3
180,0,77,5,57.6,6
181,0,44,5,26.2,2
182,0,62,8,24.3,4
183,4,40,10,35.7,7
184,5,74,10,71.2,6
185,0,82,8,32.4,3
186,8,68,10,32.9,8
187,3,41,3,65.2,2
188,4,40,2,59.2,6
189,7,90,4,52.3,4
190,7,62,9,52.0,5
191,7,65,9,50.0,7
192,1,40,6,63.9,5
193,5,43,1,60.9,6
194,2,88,7,17.7,2
195,4,83,3,70.5,4
196,7,73,5,57.5,6
197,3,80,8,64.0,2
198,5,81,8,63.5,8
199,0,67,4,34.4,8
200,7,40,1,35.3,3
201,8,56,4,64.5,4
202,4,57,1,30.1,7
203,1,73,9,22.6,6
204,3,63,6,60.9,6
205,5,47,6,40.6,5
206,7,82,3,58.5,4
207,8,73,7,59.7,7
208,6,90,5,50.8,2
209,3,80,2,22.0,4
210,4,77,10,35.7,8
211,5,49,1,59.3,3
212,8,74,2,40.5,4
213,2,86,5,71.8,5
214,6,48,8,31.5,7
215,7,86,6,51.1,3
216,7,77,1,47.9,7
217,0,74,8,72.9,3
218,6,41,10,18.6,1
219,5,64,7,35.6,6
220,4,41,1,56.0,4
221,4,59,9,33.8,2
222,2,59,7,51.0,3
223,7,56,3,24.3,8
224,4,90,1,56.2,7
225,8,89,1,32.0,1
226,3,87,7,58.6,7
227,1,68,8,43.5,2
228,1,79,3,53.4,3
229,8,69,6,24.6,1
230,6,65,7,44.5,4
231,8,50,3,60.4,2
232,4,41,6,21.1,8
233,7,89,10,72.7,8
234,5,70,1,28.7,2
235,1,64,3,26.5,8
236,6,76,2,20.5,1
237,2,42,7,41.6,2
238,8,49,1,63.5,3
239,8,78,9,63.2,2
240,6,88,9,57.1,1
241,1,48,8,42.5,5
242,0,50,1,20.9,4
243,4,75,9,71.5,5
244,0,40,2,45.0,3
245,5,55,1,31.7,4
246,6,65,6,27.5,8
247,4,84,5,31.8,3
248,3,76,9,17.9,2
249,4,75,8,68.3,8
250,1,48,9,65.9,4
251,2,87,3,61.3,5
252,8,70,4,24.6,7
253,6,72,7,41.0,1
254,8,49,8,17.4,1
255,8,66,9,47.8,6
256,1,43,4,60.7,1
257,8,55,4,61.4,4
258,4,55,8,55.8,3
259,3,84,6,18.5,2
260,6,81,5,57.2,8
261,2,38,10,54.0,8
262,4,82,10,25.2,4
263,3,78,7,31.6,5
264,0,48,5,68.9,5
265,7,73,10,19.8,7
266,1,90,8,72.5,7
267,1,46,2,61.2,6
268,6,65,5,62.2,1
269,4,46,6,70.0,7
270,0,88,5,17.7,4
271,0,52,9,31.3,7
272,0,51,9,17.3,8
273,4,74,9,57.9,5
274,0,58,10,16.4,5
275,7,54,7,37.1,3
276,8,49,9,38.3,8
277,3,74,6,68.7,2
278,8,79,3,56.2,4
279,1,88,7,64.9,6
280,2,56,10,41.4,3
281,2,39,1,17.1,2
282,6,60,5,70.8,8
283,7,45,1,43.3,4
284,2,46,7,58.9,8
285,8,44,2,62.4,5
286,6,79,3,24.3,3
287,0,68,5,34.9,4
288,2,49,6,70.9,8
289,4,89,10,18.3,1
290,2,57,1,70.5,4
291,1,75,3,42.8,2
292,4,55,6,19.0,7
293,8,90,1,35.8,8
294,8,67,4,38.3,3
295,2,51,8,56.9,7
296,0,69,6,57.4,4
297,5,46,1,40.7,8
298,3,57,10,47.0,1
299,8,38,3,35.4,2
300,8,50,5,42.4,3
301,6,71,1,60.0,6
302,8,70,4,31.6,8
303,0,90,8,25.4,8
304,8,84,4,64.5,1
305,8,88,10,46.6,7
306,3,38,2,32.0,8
307,5,74,4,44.0,3
308,5,88,5,59.1,5
309,0,38,10,33.1,2
310,7,43,9,66.2,6
311,6,82,1,36.4,6
312,2,54,5,44.5,7
313,2,69,6,42.8,3
314,4,44,5,32.6,5
315,2,64,9,28.5,2
316,7,40,6,62.2,8
317,0,83,1,30.1,4
318,5,47,1,44.5,4
319,5,64,9,51.0,4
320,7,88,6,32.0,5
321,2,67,7,38.0,6
322,4,57,4,53.2,5
323,8,50,8,47.5,2
324,2,81,7,55.6,3
325,2,75,5,53.8,6
326,5,58,6,61.9,5
327,5,65,1,20.7,6
328,4,46,10,57.6,6
329,7,64,1,42.3,4
330,6,61,3,30.4,1
331,0,52,3,26.8,7
332,4,60,10,26.7,4
333,8,85,4,41.4,5
334,8,75,6,53.4,1
335,5,72,5,67.7,1
336,4,51,7,68.4,6
337,6,76,5,70.1,6
338,4,38,7,66.7,3
339,0,69,3,61.9,5
340,2,44,5,38.5,5
341,7,72,5,57.3,7
342,5,62,2,72.0,6
343,0,48,1,70.3,3
344,8,75,6,28.2,5
345,2,57,3,42.5,3
346,6,83,4,40.1,5
347,0,86,9,15.7,5
348,6,54,6,30.9,1
349,1,73,1,51.3,8
350,6,56,4,72.4,1
351,1,51,5,27.5,8
352,3,40,4,68.5,5
353,4,67,5,62.5,8
354,0,51,3,23.0,5
355,3,83,10,48.2,6
356,1,46,8,36.2,5
357,6,66,10,54.8,6
358,4,51,10,65.0,7
359,7,45,8,53.4,2
360,8,44,8,50.0,7
361,5,82,6,35.0,2
362,7,88,6,55.2,2
363,0,86,3,60.6,2
364,0,45,1,56.2,8
365,5,49,10,47.8,2
366,5,60,3,44.5,2
367,8,57,9,58.3,5
368,1,62,1,63.7,5
369,0,81,2,16.3,3
370,8,78,9,20.7,4
371,6,59,7,67.4,5
372,4,44,4,40.0,5
373,1,44,6,27.1,2
374,6,57,5,52.5,4
375,0,85,9,27.4,6
376,7,55,7,72.1,1
377,4,44,7,67.3,5
378,7,49,2,37.3,2
379,5,58,4,56.7,3
380,5,71,8,37.1,6
381,3,45,6,60.6,7
382,7,76,1,44.0,4
383,6,84,8,44.8,4
384,1,40,1,18.4,8
385,7,62,2,20.3,1
386,6,40,4,20.3,7
387,6,50,5,32.8,3
388,4,59,7,36.0,5
389,8,60,7,54.5,6
390,0,43,10,36.7,2
391,0,39,5,58.6,6
392,2,66,6,46.5,1
393,7,87,9,53.0,8
394,3,69,1,66.8,4
395,0,69,4,43.3,5
396,3,60,2,40.5,7
397,0,72,1,39.6,2
398,7,61,10,58.3,6
399,2,65,7,35.7,1
400,2,51,7,20.5,5
401,2,71,3,25.7,4
402,1,85,2,56.8,8
403,3,55,9,58.2,6
404,3,56,2,69.9,1
405,2,44,2,31.8,7
406,2,67,9,34.6,4
407,0,44,10,43.4,4
408,7,66,4,35.8,8
409,5,80,4,23.1,8
410,7,40,6,45.7,7
411,5,79,1,40.7,8
412,5,43,8,41.0,4
413,7,67,1,68.0,4
414,1,67,2,38.4,7
415,7,38,2,30.5,5
416,8,83,6,17.9,7
417,1,48,1,62.5,4
418,4,53,10,36.2,6
419,4,55,3,53.2,1
420,5,48,10,29.5,6
421,5,74,2,37.4,8
422,4,49,2,53.4,4
423,7,59,5,40.5,6
424,7,71,3,27.4,8
425,1,43,8,51.4,3
426,8,62,8,34.4,1
427,7,78,10,62.1,8
428,6,52,6,39.3,8
429,0,81,9,24.3,7
430,8,72,10,22.5,8
431,4,77,3,46.1,3
432,7,42,5,50.5,2
433,6,57,7,28.2,2
434,1,67,2,54.1,1
435,2,85,7,66.1,5
436,0,42,4,45.0,1
437,7,52,8,43.3,6
438,4,64,1,47.1,1
439,6,83,1,33.1,4
440,3,47,1,67.6,3
441,6,46,4,68.9,7
442,5,43,4,66.2,6
443,4,42,7,49.4,6
444,6,44,4,21.9,5
445,6,72,8,48.5,8
446,6,90,3,15.1,3
447,2,46,6,21.0,5
448,4,52,3,71.2,2
449,1,79,1,48.3,4
450,5,79,4,72.4,1
451,2,66,7,18.3,1
452,4,77,8,27.7,3
453,3,72,8,59.4,4
454,0,54,10,31.0,7
455,3,42,2,26.9,4
456,1,48,9,16.5,2
457,4,38,10,70.2,7
458,3,38,8,55.3,1
459,3,49,7,28.4,1
460,2,79,5,46.9,5
461,0,90,2,24.5,4
462,1,61,3,42.1,8
463,3,52,4,49.5,2
464,6,58,3,21.2,4
465,3,60,2,69.5,3
466,0,74,3,58.1,1
467,1,69,5,41.4,3
468,1,52,9,51.8,3
469,4,62,6,54.3,5
470,2,38,9,37.0,2
471,5,50,1,35.0,6
472,7,69,7,17.4,1
473,6,45,7,69.4,3
474,7,47,2,69.1,1
475,7,52,5,65.3,6
476,8,52,1,20.3,5
477,7,41,10,57.6,3
478,5,79,6,35.8,8
479,2,89,6,35.3,3
480,6,42,9,29.0,8
481,0,46,6,27.1,3
482,4,90,3,26.0,7
483,7,55,4,53.5,1
484,1,89,5,26.8,4
485,5,58,2,65.7,2
486,6,56,3,72.5,8
487,6,86,10,21.1,3
488,0,90,2,23.6,1
489,1,56,10,56.5,2
490,2,58,5,61.9,3
491,2,74,5,37.4,3
492,3,83,1,27.3,1
493,3,90,1,55.4,8
494,1,53,7,70.9,4
495,4,89,8,15.2,4
496,8,58,7,64.8,7
497,7,59,5,48.6,6
498,7,88,3,41.5,5
499,1,47,6,19.3,7
500,7,57,9,33.6,6
501,8,75,1,71.7,8
502,7,61,4,18.7,8
503,5,50,5,67.0,1
504,3,65,7,19.5,6
505,6,67,1,38.0,1
506,4,42,3,46.0,7
507,8,67,10,60.4,3
508,0,41,8,27.6,8
509,2,41,1,56.3,3
510,2,87,10,24.2,7
511,3,45,1,16.4,3
512,2,74,3,43.1,7
513,3,70,8,30.8,4
514,5,53,3,23.5,1
515,7,72,3,28.6,2
516,7,58,7,22.1,4
517,1,73,2,19.2,1
518,8,51,3,28.6,3
519,7,87,3,62.2,4
520,6,74,6,33.9,7
521,4,62,1,51.2,2
522,6,74,3,72.6,1
523,3,67,10,49.1,2
524,6,71,8,68.9,5
525,1,67,3,69.6,7
526,4,87,4,70.4,6
527,3,48,10,45.4,5
528,1,84,3,50.1,1
529,4,50,6,17.2,4
530,7,61,7,41.5,2
531,6,66,2,69.2,7
532,8,70,2,43.2,4
533,8,85,7,37.9,8
534,0,66,2,56.3,7
535,1,84,2,64.7,5
536,0,57,5,46.9,1
537,1,60,10,64.2,2
538,2,78,4,61.5,8
539,4,70,9,32.6,1
540,3,82,10,55.8,7
541,7,38,7,60.2,2
542,7,39,7,71.2,7
543,3,69,5,54.6,3
544,1,49,8,59.0,7
545,4,90,7,24.0,3
546,7,87,2,34.6,5
547,3,42,8,60.1,8
548,2,63,7,45.7,5
549,8,83,6,56.8,1
550,4,70,6,65.3,3
551,5,74,2,43.4,7
552,8,76,3,18.1,5
553,3,80,5,28.0,8
554,3,41,6,64.1,2
555,5,50,9,30.8,1
556,1,70,5,45.0,8
557,7,40,10,44.6,5
558,0,54,1,24.1,5
559,7,50,3,62.9,3
560,6,73,9,42.3,8
561,7,69,1,45.7,5
562,6,57,10,55.7,3
563,4,49,7,55.5,1
564,5,81,6,52.6,6
565,3,73,4,36.5,2
566,8,70,3,45.6,5
567,1,63,8,23.6,5
568,7,43,1,69.6,8
569,2,77,8,24.9,2
570,0,84,2,63.8,6
571,8,44,1,23.5,2
572,0,65,6,52.5,4
573,3,50,4,27.5,4
574,6,62,7,61.6,2
575,7,60,1,30.3,1
576,4,52,7,57.1,2
577,7,70,4,17.6,2
578,8,90,5,64.1,6
579,1,64,9,45.2,2
580,7,41,5,45.0,1
581,0,49,9,49.5,7
582,6,43,10,43.8,8
583,7,90,10,25.6,2
584,4,90,4,67.9,8
585,4,66,7,53.7,7
586,7,67,2,32.5,3
587,0,43,2,54.5,6
588,7,85,6,53.9,2
589,2,79,4,52.9,4
590,5,71,1,63.2,7
591,0,43,7,42.8,7
592,1,43,10,59.2,1
593,0,67,3,54.9,3
594,4,89,1,59.4,2
595,0,75,7,24.1,5
596,2,90,8,48.0,1
597,0,53,6,59.3,4
598,5,42,7,26.0,2
599,2,71,10,66.1,1
600,1,42,1,53.1,1
601,3,63,5,51.0,6
602,4,68,4,53.5,2
603,3,68,6,53.8,8
604,7,61,5,58.6,2
605,5,76,8,22.4,1
606,3,39,2,58.9,4
607,8,64,2,54.8,6
608,8,54,1,66.3,5
609,5,52,5,46.7,2
610,8,46,10,27.8,1
611,5,45,6,22.7,7
612,8,40,9,46.5,6
613,6,73,6,55.7,3
614,2,58,2,56.4,3
615,4,44,6,21.6,3
616,4,60,10,32.3,7
617,2,41,2,44.1,3
618,8,43,5,56.0,2
619,2,50,2,19.9,4
620,0,84,3,32.8,1
621,1,73,5,37.6,5
622,5,49,8,57.9,7
623,0,76,4,19.6,7
624,4,47,4,30.5,8
625,2,58,9,57.8,7
626,1,50,10,44.6,4
627,1,53,6,53.0,5
628,7,44,2,54.2,5
629,2,52,4,51.2,5
630,4,86,9,34.6,1
631,8,41,2,61.2,8
632,4,87,9,73.0,5
633,4,88,3,39.7,7
634,7,73,7,36.2,7
635,8,49,9,62.0,2
636,8,60,1,17.5,6
637,6,87,9,17.8,4
638,1,70,8,51.3,6
639,8,40,7,61.2,5
640,1,39,7,33.4,2
641,4,80,3,39.0,7
642,1,90,10,72.0,2
643,7,86,5,62.9,6
644,3,46,9,32.8,6
645,7,55,8,31.6,2
646,8,63,9,16.5,5
647,5,86,7,35.5,1
648,7,71,10,60.1,3
649,0,70,10,40.9,3
650,6,82,7,20.0,3
651,1,58,4,31.9,2
652,6,38,10,52.4,7
653,3,71,10,68.1,8
654,8,84,9,32.9,8
655,2,83,4,27.4,3
656,2,69,2,19.6,7
657,8,73,9,48.1,4
658,3,62,2,45.4,8
659,7,74,1,22.5,4
660,2,52,3,45.4,4
661,8,45,2,58.4,7
662,1,71,6,71.3,1
663,1,83,4,27.3,7
664,8,73,4,36.5,7
665,4,81,5,61.1,7
666,1,53,1,18.0,2
667,4,78,3,64.4,3
668,8,77,4,16.3,6
669,6,57,7,18.1,8
670,2,79,3,52.3,2
671,8,71,10,19.0,1
672,6,63,5,24.3,8
673,6,38,10,58.4,8
674,2,50,8,39.2,2
675,6,39,10,45.1,7
676,6,68,2,17.5,3
677,3,68,4,30.1,5
678,5,85,3,52.1,8
679,4,48,6,24.2,5
680,6,65,6,22.9,1
681,8,77,2,47.7,8
682,3,63,1,32.4,1
683,6,44,10,27.4,6
684,6,49,6,42.4,1
685,6,47,5,18.6,1
686,4,62,1,46.3,1
687,4,69,2,47.0,8
688,6,40,3,59.5,1
689,6,46,2,15.4,7
690,6,63,8,17.4,7
691,3,48,6,44.1,1
692,0,39,5,56.0,4
693,5,61,7,45.4,7
694,0,44,9,45.8,7
695,6,76,10,33.7,8
696,2,51,9,44.4,5
697,1,42,8,41.4,2
698,1,88,2,45.5,3
699,0,74,9,20.8,5
700,5,52,2,51.7,5
701,2,63,9,63.9,8
702,5,63,8,55.6,6
703,4,78,10,53.5,3
704,8,79,10,22.1,6
705,2,62,5,47.1,7
706,4,61,6,19.2,6
707,0,86,5,47.6,5
708,1,55,10,58.2,7
709,5,74,2,67.8,7
710,8,63,10,37.6,7
711,3,87,8,57.1,3
712,1,61,8,22.2,2
713,6,73,5,19.7,1
714,2,83,9,70.5,4
715,6,74,10,68.7,1
716,5,84,7,72.6,1
717,1,84,8,56.7,8
718,2,70,1,69.0,7
719,3,87,4,17.4,4
720,6,54,8,35.9,8
721,8,85,8,65.3,2
722,8,88,9,40.5,2
723,5,71,7,20.4,8
724,7,66,6,38.0,5
725,6,86,4,65.9,2
726,3,86,4,16.7,7
727,6,51,4,15.7,2
728,4,43,1,24.7,8
729,3,68,8,15.2,1
730,4,54,7,64.6,3
731,1,49,9,72.5,5
732,4,85,3,44.6,5
733,7,42,1,50.4,6
734,4,48,5,58.6,3
735,5,51,8,69.6,2
736,0,69,7,55.5,1
737,3,67,5,24.5,6
738,4,56,5,61.4,2
739,6,64,4,17.5,7
740,3,88,9,56.0,3
741,8,67,2,58.0,3
742,7,52,9,55.8,8
743,7,77,10,71.8,7
744,0,67,1,25.9,8
745,1,43,9,54.4,1
746,4,50,9,64.2,3
747,4,47,5,69.1,3
748,0,76,2,45.1,4
749,0,57,9,44.3,5
750,1,88,8,17.1,4
751,2,42,5,63.3,6
752,0,61,6,46.4,5
753,0,76,7,31.2,8
754,2,83,4,53.1,8
755,7,55,1,51.6,2
756,0,84,10,18.5,6
757,1,73,3,41.6,3
758,4,54,7,39.9,3
759,5,42,3,42.2,3
760,1,76,1,65.7,7
761,8,71,6,51.8,1
762,8,66,8,65.4,8
763,7,54,4,56.6,3
764,3,50,10,51.8,7
765,2,82,7,28.2,3
766,0,84,10,54.3,4
767,8,89,10,55.3,6
768,3,76,10,67.4,5
769,4,79,3,64.5,2
770,7,54,8,48.6,2
771,1,47,1,62.0,5
772,5,73,7,15.1,4
773,5,61,7,68.5,2
774,1,56,7,18.1,6
775,6,48,7,67.2,7
776,6,53,7,16.1,6
777,5,82,6,22.0,2
778,6,84,4,70.5,8
779,2,61,7,44.6,3
780,6,66,10,48.3,4
781,5,76,7,48.1,2
782,2,75,5,30.6,6
783,5,90,4,22.3,7
784,0,64,9,29.1,5
785,6,49,3,31.3,6
786,6,51,5,55.4,2
787,2,57,7,39.9,8
788,5,61,6,31.4,6
789,7,50,3,69.9,7
790,8,61,10,32.2,7
791,8,49,7,36.5,5
792,4,84,2,16.4,2
793,4,79,1,25.9,5
794,1,45,3,21.0,5
795,7,49,4,42.2,3
796,3,57,1,69.6,4
797,3,41,3,25.3,7
798,3,89,4,62.5,6
799,5,40,9,28.6,2
800,3,42,6,68.5,8
801,0,70,6,16.0,1
802,3,65,1,62.4,7
803,1,46,10,69.0,1
804,4,46,5,55.6,3
805,2,47,9,25.1,8
806,5,71,3,15.0,2
807,8,59,1,72.8,4
808,0,53,5,40.1,4
809,8,55,5,53.1,2
810,3,46,5,70.4,8
811,6,44,1,52.2,8
812,1,57,5,35.6,3
813,7,68,4,16.8,8
814,7,75,6,34.2,6
815,3,40,10,15.4,5
816,3,87,4,40.4,8
817,5,82,4,43.9,2
818,0,69,9,46.6,6
819,3,54,2,17.7,6
820,6,65,10,67.9,6
821,8,89,3,71.5,2
822,1,59,7,45.2,8
823,6,62,8,60.3,2
824,3,88,1,49.9,4
825,4,60,7,64.4,2
826,0,69,7,57.4,4
827,7,87,8,55.2,3
828,1,87,4,64.0,8
829,0,84,4,23.9,1
830,7,73,6,71.6,2
831,6,59,3,28.2,7
832,2,73,1,31.3,6
833,4,40,4,59.2,1
834,6,56,6,70.9,4
835,7,68,9,54.0,4
836,1,49,10,69.8,6
837,3,42,5,23.7,7
838,5,80,6,30.8,8
839,8,71,6,25.5,8
840,8,86,8,65.8,3
841,8,42,6,25.0,5
842,2,58,7,19.2,2
843,1,84,1,70.8,4
844,4,67,7,35.9,7
845,8,80,10,15.3,5
846,5,45,7,17.6,4
847,8,79,3,43.4,7
848,8,60,5,45.6,5
849,3,81,4,68.3,6
850,1,60,1,27.1,6
851,6,39,8,56.6,3
852,8,86,10,50.7,7
853,0,67,4,28.6,8
854,0,51,3,31.5,6
855,0,59,2,63.7,3
856,5,82,10,53.9,4
857,6,47,10,23.1,6
858,6,44,7,70.4,2
859,2,43,5,52.4,5
860,6,63,8,62.9,7
861,3,48,8,59.3,5
862,8,89,10,70.4,8
863,1,61,5,19.9,1
864,1,57,2,32.5,7
865,4,89,8,50.3,5
866,4,70,1,52.9,3
867,4,55,8,68.8,8
868,3,78,6,23.9,7
869,5,58,5,50.6,8
870,6,71,5,61.3,6
871,5,63,9,32.2,4
872,5,70,7,68.5,3
873,8,41,6,29.8,8
874,4,73,8,47.6,6
875,1,47,4,45.4,2
876,5,69,9,60.6,6
877,4,48,5,50.1,8
878,5,77,6,40.1,5
879,3,74,1,35.0,6
880,8,77,4,28.1,7
881,6,82,10,64.7,7
882,1,77,5,41.7,8
883,7,50,9,22.7,2
884,6,72,10,48.2,3
885,3,44,1,54.4,8
886,1,82,3,15.5,2
887,6,66,3,45.9,8
888,1,63,2,58.0,7
889,2,71,6,45.8,3
890,5,60,10,49.1,8
891,7,43,6,33.1,8
892,2,68,10,57.7,6
893,5,73,7,66.2,6
894,3,86,2,54.0,3
895,3,71,2,53.9,1
896,1,75,9,63.9,8
897,0,62,2,47.2,4
898,8,74,4,50.2,2
899,3,46,8,56.4,7
900,0,90,1,33.0,2
901,7,86,9,46.2,4
902,1,69,9,32.3,1
903,6,54,3,63.3,6
904,7,77,5,41.5,4
905,6,38,2,35.2,8
906,6,77,2,59.9,3
907,1,82,4,16.6,1
908,1,70,2,68.7,1
909,1,54,4,69.0,2
910,4,71,2,66.4,7
911,4,44,1,20.5,2
912,6,80,9,23.1,4
913,7,42,9,23.7,7
914,3,43,2,37.3,1
915,1,41,10,30.9,1
916,1,48,2,55.9,3
917,1,55,3,18.6,3
918,1,75,1,18.5,8
919,8,68,10,20.6,4
920,8,68,6,53.6,6
921,1,52,5,36.6,5
922,1,59,7,25.0,5
923,7,43,2,51.7,5
924,6,40,7,49.5,3
925,0,58,6,62.5,8
926,3,54,1,28.9,7
927,1,73,7,71.2,7
928,7,56,1,39.6,2
929,4,56,1,35.1,7
930,8,45,9,53.1,3
931,2,39,3,15.2,7
932,1,76,5,15.3,2
933,1,54,7,72.1,8
934,2,89,4,63.5,5
935,5,73,2,36.1,7
936,6,48,4,59.3,4
937,1,51,8,18.6,8
938,0,42,1,30.2,6
939,2,47,5,26.1,5
940,5,83,1,69.8,4
941,7,90,10,64.7,8
942,3,82,9,54.5,8
943,8,81,5,24.6,8
944,1,65,1,58.9,6
945,1,44,5,25.9,4
946,5,52,5,45.6,3
947,3,68,8,40.2,6
948,1,84,7,15.1,6
949,5,90,3,46.9,7
950,1,38,6,45.5,8
951,1,45,3,63.8,1
952,6,65,6,41.0,1
953,4,90,7,62.0,3
954,1,48,9,30.6,6
955,2,71,6,69.4,5
956,1,83,2,37.6,3
957,5,63,1,34.6,3
958,2,64,9,49.4,8
959,6,56,3,66.6,8
960,5,69,5,56.0,7
961,5,83,9,34.0,3
962,8,57,6,16.9,6
963,2,39,1,66.2,6
964,1,43,7,55.4,3
965,6,70,2,43.1,1
966,2,43,9,19.8,5
967,8,53,7,51.6,1
968,5,62,7,56.5,6
969,0,80,9,42.0,4
970,6,66,6,67.1,3
971,4,70,6,53.8,4
972,8,73,4,50.4,8
973,2,55,7,66.2,1
974,5,63,8,21.7,2
975,2,68,7,18.2,8
976,4,42,8,52.5,4
977,0,73,7,42.8,7
978,0,68,8,29.6,1
979,1,47,3,16.3,1
980,0,69,10,51.1,8
981,4,84,4,59.2,3
982,1,52,4,42.7,3
983,0,67,7,36.0,6
984,1,65,5,72.0,4
985,0,84,7,67.3,2
986,6,53,2,55.1,5
987,4,61,7,72.4,1
988,4,50,9,37.3,6
989,0,86,3,55.8,3
990,3,90,6,40.9,4
991,6,38,7,43.3,5
992,2,80,8,59.7,1
993,1,40,6,54.9,1
994,2,84,2,50.3,8
